Datetime,"Leroy Musigny Grand Cru, Cote de Nuits","Leroy Domaine d'Auvenay Chevalier-Montrachet Grand Cru, Cote de Beaune","Leroy Domaine d'Auvenay Criots-Batard-Montrachet Grand Cru, Cote de Beaune","Leroy Chambertin Grand Cru, Cote de Nuits","Leroy Domaine d'Auvenay Mazis-Chambertin Grand Cru, Cote de Nuits","Leroy Domaine d'Auvenay Les Bonnes-Mares Grand Cru, Cote de Nuits","Leroy Corton-Charlemagne Grand Cru, Cote de Beaune","Domaine de la Romanee-Conti Montrachet Grand Cru, Cote de Beaune","Leroy Richebourg Grand Cru, Cote de Nuits","Leroy Romanee-Saint-Vivant Grand Cru, Cote de Nuits","Leroy Domaine d'Auvenay Meursault Chaumes des Perrieres, Cote de Beaune","Leroy Domaine d'Auvenay Meursault, Cote de Beaune","Leroy Domaine d'Auvenay Puligny-Montrachet en La Richarde, Cote de Beaune","Leroy Clos de la Roche Grand Cru, Cote de Nuits","Leroy Domaine d'Auvenay Les Folatieres, Puligny-Montrachet Premier Cru","Leroy Corton-Renardes Grand Cru, Cote de Beaune","Leroy Aux Brulees, Vosne-Romanee Premier Cru","Leroy Domaine d'Auvenay Meursault Les Narvaux, Cote de Beaune","Leroy Chambolle-Musigny Les Fremieres, Cote de Nuits","Leroy Clos de Vougeot Grand Cru, Cote de Nuits","Leroy Latricieres-Chambertin Grand Cru, Cote de Nuits","Leroy Les Charmes, Chambolle-Musigny Premier Cru","Leroy Les Combottes, Gevrey-Chambertin Premier Cru","Leroy Domaine d'Auvenay Auxey-Duresses Les Clous, Cote de Beaune"
02-2021,27286.74,9294.30,7686.60,9055.56,6637.80,6107.88,4340.10,8424.13,7322.28,6533.00,4828.22,1635.30,3207.17,5219.16,2386.02,4704.42,3826.41,2711.78,2029.98,3700.37,4785.55,2934.29,2868.96,1676.70
03-2021,27136.97,10839.22,8002.23,9420.03,6703.36,6425.97,4189.46,8316.42,7258.58,6216.90,3980.96,2148.94,3157.44,4915.04,2262.92,4828.86,3483.12,3128.89,2094.73,3990.96,4627.14,3085.64,2975.28,1559.58
04-2021,22816.92,9041.76,10795.74,9720.72,7307.10,6490.14,4853.46,8455.37,7119.42,6932.97,4083.38,2220.42,3682.11,4726.50,2645.46,4475.10,3910.07,3056.78,2154.18,4077.70,5269.17,3376.95,3357.21,1515.24
05-2021,26775.90,9823.47,12715.38,10019.46,7441.98,6667.89,5286.09,8601.54,7852.29,7430.70,6054.54,1950.03,3927.48,6088.38,2052.57,4227.73,3841.92,2927.16,2701.56,4308.36,6378.84,3682.92,3680.10,1514.34
06-2021,27272.22,11347.68,12750.63,11014.92,7697.19,7078.20,6404.22,8908.38,8606.64,6852.70,7867.80,,3881.73,6288.38,2460.45,5159.19,4156.68,3770.34,2901.78,5043.57,5708.73,3992.05,4104.67,4237.05
07-2021,27984.87,19885.34,12760.20,11623.18,7946.63,7233.56,6218.86,9094.50,8055.05,6894.48,8048.10,,4585.32,6250.53,2970.43,5369.57,4517.64,3926.75,3921.19,5380.56,5708.83,4048.80,4091.78,4334.02
08-2021,32850.90,20504.40,15404.94,11285.64,7986.06,7483.74,5698.02,8979.40,8669.16,7101.48,8280.00,,4824.69,6281.41,5099.10,5408.22,4478.58,5295.06,3527.28,5632.06,6865.50,4852.05,4072.14,4494.66
09-2021,27994.68,26277.96,15382.86,12186.78,8113.02,8034.36,5739.42,9241.86,9408.84,7560.24,9254.28,,6222.42,6699.90,5949.18,5239.86,4635.42,5751.84,3982.68,5642.82,6745.44,5382.85,4196.93,5156.82
10-2021,37604.00,26611.12,16945.60,12856.08,8582.96,10780.72,6398.80,9456.90,9348.64,8935.12,8777.44,,6375.60,6560.52,7745.20,5784.08,5172.24,6557.92,3938.56,8972.02,7824.08,5753.96,4320.16,5653.52
11-2021,39247.26,31322.50,20858.44,13040.88,8738.14,11733.04,8798.44,9743.04,10332.74,9665.11,844200,8349.54,8229.36,7167.20,8872.14,6302.02,5291.76,8991.40,4143.28,6231.52,8180.70,6720.49,4225.41,6216.26
12-2021,40126.10,32321.66,32672.78,16041.13,9747.57,12603.08,8835.19,9842.30,10626.70,9917.43,10268.93,11834.34,8408.46,7560.46,10389.96,6696.55,5463.18,9939.09,5294.73,6853.60,8284.57,6859.59,4366.19,7816.41
01-2022,46933.46,32626.55,32592.30,14768.60,11253.18,13024.59,7344.57,10870.09,10832.59,9824.64,11357.30,10960.00,11257.12,7815.82,13250.64,6478.73,5939.78,9854.41,7063.72,6862.55,8307.68,7486.80,5010.24,8195.34
02-2022,39634.48,30608.16,38560.08,14537.04,12913.20,12575.92,11149.28,11380.59,10678.72,9926.80,9351.36,10920.80,11157.28,8002.21,12986.64,7072.00,7972.03,9811.04,7194.40,7141.81,7522.46,7376.20,4816.50,8000.88
03-2022,39774.80,30274.40,31604.30,13991.90,11817.00,13153.40,10510.50,11630.72,10760.10,10470.83,9132.50,10662.60,10595.76,7807.80,12160.20,6739.20,7161.76,10012.60,7109.70,7348.08,7451.60,7477.48,5009.44,7868.90
04-2022,37984.76,31552.66,33935.55,14085.12,12515.74,12945.42,8737.70,11796.20,11674.72,11195.46,9456.89,10537.64,10098.40,8524.17,11171.68,7165.70,6698.90,9726.75,7195.83,7180.30,9001.01,7381.23,5226.96,8022.44
05-2022,43093.05,30408.06,31170.65,13993.71,12388.56,12745.26,8049.12,12276.01,11673.93,10955.34,8657.97,9464.85,10312.32,8302.50,11055.24,8794.50,7595.38,9461.16,7099.56,7469.62,8409.51,7019.21,5354.25,7753.92
06-2022,41934.97,29872.48,28882.70,13549.58,12014.09,12527.13,10579.03,12239.73,11694.62,10231.78,9502.13,9381.13,10694.85,8084.01,10892.42,8715.63,7395.99,9473.09,6952.66,7257.00,8270.35,6649.14,5458.68,7788.77
07-2022,34225.90,25622.52,29837.48,11895.58,10710.86,12454.90,9657.12,12344.42,11119.14,11231.78,10405.24,8757.96,10784.73,7621.62,10548.02,8087.72,7347.12,9068.30,7323.08,7348.33,7024.54,7021.63,5292.54,7497.72
08-2022,32751.07,31721.36,29075.09,14248.96,11035.20,12528.34,10280.16,12125.65,11014.63,11024.31,9600.14,8996.35,10462.42,7910.98,11012.21,8102.16,6414.48,9171.80,6934.51,6991.50,7577.02,6499.80,4785.60,7724.64
09-2022,36319.30,30009.25,28488.95,12589.05,11804.75,12114.10,12227.95,12280.29,10551.25,10371.85,8949.30,8722.75,10755.69,7562.48,10912.35,8269.65,6987.75,9004.50,6722.90,7123.27,7752.15,5453.38,4712.10,7558.95
10-2022,40588.47,30007.15,28145.48,12219.82,11235.59,11773.47,10437.81,12372.85,10385.83,9799.36,9719.13,8523.59,10550.10,7424.10,10475.49,7652.36,6956.35,8824.17,6264.72,6833.30,7586.82,6370.82,5415.02,4150.64
11-2022,41405.02,60746.08,28589.04,12772.32,12386.46,12172.88,10426.48,12237.90,10900.84,9979.26,9319.64,8936.14,9538.33,7832.84,10832.40,7628.70,7334.83,8995.14,6600.92,6415.01,7557.90,6792.72,7106.44,7392.70
12-2022,42784.96,29727.76,27751.48,12958.64,12938.16,12459.52,10890.92,12642.52,11319.96,10933.08,9044.56,8666.36,9587.50,8812.68,10652.84,8102.16,7456.42,9054.45,7489.60,6721.28,7798.36,6483.05,7154.08,7526.80
01-2023,40994.44,28666.34,24969.74,11964.54,13069.86,12596.50,11442.38,12728.60,11167.88,10912.90,8780.34,8988.96,10208.92,8005.64,10335.84,8037.36,7647.05,8715.68,6928.38,6890.68,7888.52,6512.22,7214.02,7542.04
02-2023,36908.63,28088.94,24277.44,11658.35,13245.87,12227.05,11140.47,12196.34,10749.64,10618.96,9456.15,8793.07,9758.78,7953.33,10082.93,8073.12,7982.46,8779.76,7677.45,6878.36,7575.23,6871.04,7504.22,7235.80
03-2023,41933.84,29127.50,24181.62,14225.20,14550.94,12104.84,11610.74,12287.55,11293.04,11141.04,9777.05,8904.78,10193.04,8548.54,10050.36,8346.02,8094.90,8835.24,7671.36,6905.47,8089.82,6902.50,8042.50,7105.28
04-2023,38450.00,29608.75,23905.00,14176.25,14632.50,12413.75,11495.00,12800.24,11551.25,11050.00,9365.00,7990.00,9708.76,8967.50,10295.00,8343.75,8348.46,8535.00,7941.25,7177.26,8142.50,6460.40,7733.88,7201.25
